locus_tag	ftype	length_bp	gene	EC_number	COG	product
573.12859_00029	CDS	2544	nasD	1.7.1.4	COG1251	Nitrite reductase [NAD(P)H]
573.12859_00030	gene	327	nirD			
573.12859_00030	CDS	327	nirD	1.7.1.15	COG2146	Nitrite reductase (NADH) small subunit
573.12859_00031	gene	1374	cysG_1			
573.12859_00031	CDS	1374	cysG_1		COG0007	Siroheme synthase
573.12859_00032	gene	1005	trpS			
573.12859_00032	CDS	1005	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
573.12859_00033	gene	762	gph			
573.12859_00033	CDS	762	gph	3.1.3.18	COG0546	Phosphoglycolate phosphatase
573.12859_00034	gene	678	rpe			
573.12859_00034	CDS	678	rpe	5.1.3.1	COG0036	Ribulose-phosphate 3-epimerase
573.12859_00035	gene	828	dam_1			
573.12859_00035	CDS	828	dam_1	2.1.1.72	COG0338	DNA adenine methylase
573.12859_00036	gene	1260	damX			
573.12859_00036	CDS	1260	damX		COG3266	Cell division protein DamX
573.12859_00037	gene	1095	aroB			
573.12859_00037	CDS	1095	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
573.12859_00038	gene	522	aroK			
573.12859_00038	CDS	522	aroK	2.7.1.71	COG0703	Shikimate kinase 1
573.12859_00039	gene	1245	pilQ			
573.12859_00039	CDS	1245	pilQ		COG4796	Type IV pilus biogenesis and competence protein PilQ
573.12859_00040	gene	429				
573.12859_00040	CDS	429				hypothetical protein
573.12859_00041	gene	534				
573.12859_00041	CDS	534				hypothetical protein
573.12859_00042	gene	801				
573.12859_00042	CDS	801				hypothetical protein
573.12859_00043	gene	2559	mrcA			
573.12859_00043	CDS	2559	mrcA		COG5009	Penicillin-binding protein 1A
573.12859_00044	gene	561	nudE			
573.12859_00044	CDS	561	nudE	3.6.1.-	COG0494	ADP compounds hydrolase NudE
573.12859_00045	gene	2130	igaA			
573.12859_00045	CDS	2130	igaA			Intracellular growth attenuator protein igaA
573.12859_00046	gene	684	yrfG			
573.12859_00046	CDS	684	yrfG	3.1.3.5	COG1011	GMP/IMP nucleotidase YrfG
573.12859_00047	gene	402	hslR			
573.12859_00047	CDS	402	hslR		COG1188	Heat shock protein 15
573.12859_00048	gene	879	hslO			
573.12859_00048	CDS	879	hslO		COG1281	33 kDa chaperonin
573.12859_00049	gene	1623	pckA_1			
573.12859_00049	CDS	1623	pckA_1	4.1.1.49	COG1866	Phosphoenolpyruvate carboxykinase (ATP)
573.12859_00050	gene	1356	envZ			
573.12859_00050	CDS	1356	envZ	2.7.13.3		Osmolarity sensor protein EnvZ
573.12859_00051	gene	720	ompR_1			
573.12859_00051	CDS	720	ompR_1			Transcriptional regulatory protein OmpR
573.12859_00052	gene	474	greB			
573.12859_00052	CDS	474	greB		COG0782	Transcription elongation factor GreB
573.12859_00053	gene	2331	yhgF			
573.12859_00053	CDS	2331	yhgF		COG2183	Protein YhgF
573.12859_00054	gene	228	feoA			
573.12859_00054	CDS	228	feoA		COG1918	Fe(2+) transport protein A
573.12859_00055	gene	2319	feoB			
573.12859_00055	CDS	2319	feoB		COG0370	Fe(2+) transporter FeoB
573.12859_00056	gene	240	feoC			
573.12859_00056	CDS	240	feoC			putative [Fe-S]-dependent transcriptional repressor
573.12859_00057	gene	270				
573.12859_00057	CDS	270				hypothetical protein
573.12859_00058	gene	774	bioH			
573.12859_00058	CDS	774	bioH	3.1.1.85	COG0596	Pimeloyl-[acyl-carrier protein] methyl ester esterase
573.12859_00059	gene	675				
573.12859_00059	CDS	675				hypothetical protein
573.12859_00060	gene	576	nfuA			
573.12859_00060	CDS	576	nfuA		COG0316	Fe/S biogenesis protein NfuA
573.12859_00061	gene	1317	gntT			
573.12859_00061	CDS	1317	gntT		COG2610	High-affinity gluconate transporter
573.12859_00062	gene	2094	malQ			
573.12859_00062	CDS	2094	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
573.12859_00063	gene	2391	malP_1			
573.12859_00063	CDS	2391	malP_1	2.4.1.1	COG0058	Maltodextrin phosphorylase
573.12859_00064	gene	2706	malT_1			
573.12859_00064	CDS	2706	malT_1		COG2909	HTH-type transcriptional regulator MalT
573.12859_00065	gene	759	glpR_1			
573.12859_00065	CDS	759	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
573.12859_00066	gene	825	glpG			
573.12859_00066	CDS	825	glpG	3.4.21.105	COG0705	Rhomboid protease GlpG
573.12859_00067	gene	330	glpE_1			
573.12859_00067	CDS	330	glpE_1	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
573.12859_00068	gene	1509	glpD			
573.12859_00068	CDS	1509	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
573.12859_00069	gene	2448	malP_2			
573.12859_00069	CDS	2448	malP_2	2.4.1.1	COG0058	Maltodextrin phosphorylase
573.12859_00070	gene	1434	glgA			
573.12859_00070	CDS	1434	glgA	2.4.1.21	COG0297	Glycogen synthase
573.12859_00071	gene	1296	glgC			
573.12859_00071	CDS	1296	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
573.12859_00072	gene	1977	glgX			
573.12859_00072	CDS	1977	glgX	3.2.1.196	COG1523	Glycogen debranching enzyme
573.12859_00073	gene	2187	glgB			
573.12859_00073	CDS	2187	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
573.12859_00074	gene	1107	asd_1			
573.12859_00074	CDS	1107	asd_1	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
573.12859_00075	gene	1266	gntU			
573.12859_00075	CDS	1266	gntU		COG2610	Low-affinity gluconate transporter
573.12859_00076	gene	531	gntK			
573.12859_00076	CDS	531	gntK	2.7.1.12	COG3265	Thermoresistant gluconokinase
573.12859_00077	gene	996	gntR_1			
573.12859_00077	CDS	996	gntR_1			HTH-type transcriptional regulator GntR
573.12859_00078	gene	696	yhhW			
573.12859_00078	CDS	696	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
573.12859_00079	gene	1038	yhhX			
573.12859_00079	CDS	1038	yhhX	1.-.-.-	COG0673	putative oxidoreductase YhhX
573.12859_00080	gene	654				
573.12859_00080	CDS	654				hypothetical protein
573.12859_00081	gene	489	aaaT			
573.12859_00081	CDS	489	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
573.12859_00082	gene	1746	ggt			
573.12859_00082	CDS	1746	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
573.12859_00083	gene	321	yhhA			
573.12859_00083	CDS	321	yhhA			putative protein YhhA
573.12859_00084	gene	741	ugpQ			
573.12859_00084	CDS	741	ugpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, cytoplasmic
573.12859_00085	gene	1071	ugpC_1			
573.12859_00085	CDS	1071	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
573.12859_00086	gene	846	lacG_1			
573.12859_00086	CDS	846	lacG_1			Lactose transport system permease protein LacG
573.12859_00087	gene	888	ugpA_1			
573.12859_00087	CDS	888	ugpA_1		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
573.12859_00088	gene	1317	ugpB_1			
573.12859_00088	CDS	1317	ugpB_1		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
573.12859_00089	gene	369				
573.12859_00089	CDS	369				hypothetical protein
573.12859_00090	gene	222				
573.12859_00090	CDS	222				hypothetical protein
573.12859_00091	gene	714	livF_1			
573.12859_00091	CDS	714	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
573.12859_00092	gene	768	lptB_1			
573.12859_00092	CDS	768	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
573.12859_00093	gene	1278				
573.12859_00093	CDS	1278				hypothetical protein
573.12859_00094	gene	927	livH_1			
573.12859_00094	CDS	927	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
573.12859_00095	gene	1110	livK			
573.12859_00095	CDS	1110	livK		COG0683	Leucine-specific-binding protein
573.12859_00096	gene	384	panM			
573.12859_00096	CDS	384	panM			PanD regulatory factor
573.12859_00097	gene	543	lemA			
573.12859_00097	CDS	543	lemA		COG1704	Protein LemA
573.12859_00098	gene	2046				
573.12859_00098	CDS	2046				hypothetical protein
573.12859_00099	gene	1098	livJ_1			
573.12859_00099	CDS	1098	livJ_1		COG0683	Leu/Ile/Val-binding protein
573.12859_00100	gene	1245				
573.12859_00100	CDS	1245				hypothetical protein
573.12859_00101	gene	1266	puuE			
573.12859_00101	CDS	1266	puuE	2.6.1.19	COG0160	4-aminobutyrate aminotransferase PuuE
573.12859_00102	gene	1524	gabR_1			
573.12859_00102	CDS	1524	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
573.12859_00103	gene	855	rpoH			
573.12859_00103	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
573.12859_00104	gene	1056	ftsX			
573.12859_00104	CDS	1056	ftsX		COG2177	Cell division protein FtsX
573.12859_00105	gene	669	ftsE			
573.12859_00105	CDS	669	ftsE		COG2884	Cell division ATP-binding protein FtsE
573.12859_00106	gene	1524	ftsY			
573.12859_00106	CDS	1524	ftsY		COG0552	Signal recognition particle receptor FtsY
573.12859_00107	gene	597	rsmD			
573.12859_00107	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
573.12859_00108	gene	276				
573.12859_00108	CDS	276				hypothetical protein
573.12859_00109	gene	351				
573.12859_00109	CDS	351				hypothetical protein
573.12859_00110	gene	627				
573.12859_00110	CDS	627				hypothetical protein
573.12859_00111	gene	2211	zntA			
573.12859_00111	CDS	2211	zntA	3.6.3.3		Zinc/cadmium/lead-transporting P-type ATPase
573.12859_00112	gene	246	tusA			
573.12859_00112	CDS	246	tusA		COG0425	Sulfur carrier protein TusA
573.12859_00113	gene	666	yhhQ			
573.12859_00113	CDS	666	yhhQ		COG1738	Queuosine precursor transporter
573.12859_00114	gene	558				
573.12859_00114	CDS	558				hypothetical protein
573.12859_00115	gene	1221	yhhS_1			
573.12859_00115	CDS	1221	yhhS_1			putative MFS-type transporter YhhS
573.12859_00116	gene	1050	yhhT_1			
573.12859_00116	CDS	1050	yhhT_1		COG0628	Putative transport protein YhhT
573.12859_00117	gene	381	arnF			
573.12859_00117	CDS	381	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
573.12859_00118	gene	339	arnE			
573.12859_00118	CDS	339	arnE		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
573.12859_00119	gene	1656	arnT			
573.12859_00119	CDS	1656	arnT	2.4.2.43	COG1807	Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
573.12859_00120	gene	903	arnD			
573.12859_00120	CDS	903	arnD	3.5.1.-	COG0726	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
573.12859_00121	gene	1986	arnA			
573.12859_00121	CDS	1986	arnA		COG0223	Bifunctional polymyxin resistance protein ArnA
573.12859_00122	gene	984	arnC			
573.12859_00122	CDS	984	arnC	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
573.12859_00123	gene	1140	arnB			
573.12859_00123	CDS	1140	arnB	2.6.1.87	COG0399	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
573.12859_00124	gene	507	padC			
573.12859_00124	CDS	507	padC	4.1.1.102	COG3479	Phenolic acid decarboxylase PadC
573.12859_00125	gene	861	allS			
573.12859_00125	CDS	861	allS			HTH-type transcriptional activator AllS
573.12859_00126	gene	1569	nikA			
573.12859_00126	CDS	1569	nikA		COG0747	Nickel-binding periplasmic protein
573.12859_00127	gene	945	nikB			
573.12859_00127	CDS	945	nikB		COG0601	Nickel transport system permease protein NikB
573.12859_00128	gene	834	nikC			
573.12859_00128	CDS	834	nikC		COG1173	Nickel transport system permease protein NikC
573.12859_00129	gene	765	nikD			
573.12859_00129	CDS	765	nikD	7.2.2.11		Nickel import ATP-binding protein NikD
573.12859_00130	gene	792	nikE			
573.12859_00130	CDS	792	nikE	7.2.2.11		Nickel import ATP-binding protein NikE
573.12859_00131	gene	402	nikR			
573.12859_00131	CDS	402	nikR		COG0864	Nickel-responsive regulator
573.12859_00132	gene	141				
573.12859_00132	CDS	141				hypothetical protein
573.12859_00133	gene	1014				
573.12859_00133	CDS	1014			COG2239	Magnesium transporter MgtE
573.12859_00134	gene	1149				
573.12859_00134	CDS	1149			COG2081	putative protein
573.12859_00135	gene	1497	pitA			
573.12859_00135	CDS	1497	pitA		COG0306	Low-affinity inorganic phosphate transporter 1
573.12859_00136	gene	336	uspB			
573.12859_00136	CDS	336	uspB			Universal stress protein B
573.12859_00137	gene	438	uspA			
573.12859_00137	CDS	438	uspA		COG0589	Universal stress protein A
573.12859_00138	gene	1473	dtpB			
573.12859_00138	CDS	1473	dtpB		COG3104	Dipeptide and tripeptide permease B
573.12859_00139	gene	753	rsmJ			
573.12859_00139	CDS	753	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
573.12859_00140	gene	2043	prlC			
573.12859_00140	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
573.12859_00141	gene	1272				
573.12859_00141	CDS	1272				hypothetical protein
573.12859_00142	gene	843	rlmJ			
573.12859_00142	CDS	843	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
573.12859_00143	gene	1353	gor			
573.12859_00143	CDS	1353	gor	1.8.1.7	COG1249	Glutathione reductase
573.12859_00144	gene	624	gstB_1			
573.12859_00144	CDS	624	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GstB
573.12859_00145	gene	1194				
573.12859_00145	CDS	1194				hypothetical protein
573.12859_00146	gene	1653	treF			
573.12859_00146	CDS	1653	treF	3.2.1.28	COG1626	Cytoplasmic trehalase
573.12859_00147	gene	534				
573.12859_00147	CDS	534				hypothetical protein
573.12859_00148	gene	759	fabG_1			
573.12859_00148	CDS	759	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
573.12859_00149	gene	900	dmlR_1			
573.12859_00149	CDS	900	dmlR_1			HTH-type transcriptional regulator DmlR
573.12859_00150	gene	1032	yhjD			
573.12859_00150	CDS	1032	yhjD		COG1295	Inner membrane protein YhjD
573.12859_00151	gene	1323	yhjE			
573.12859_00151	CDS	1323	yhjE			Inner membrane metabolite transport protein YhjE
573.12859_00152	gene	2052				
573.12859_00152	CDS	2052				hypothetical protein
573.12859_00153	gene	930	kdgK_1			
573.12859_00153	CDS	930	kdgK_1	2.7.1.45		2-dehydro-3-deoxygluconokinase
573.12859_00154	gene	1503	yhjJ			
573.12859_00154	CDS	1503	yhjJ		COG0612	Protein YhjJ
573.12859_00155	gene	1287	dctA_1			
573.12859_00155	CDS	1287	dctA_1		COG1301	Aerobic C4-dicarboxylate transport protein
573.12859_00156	gene	2007	pdeK			
573.12859_00156	CDS	2007	pdeK	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeK
573.12859_00157	gene	3492	bcsC			
573.12859_00157	CDS	3492	bcsC		COG0457	Cellulose synthase operon protein C
573.12859_00158	gene	1110	bcsZ			
573.12859_00158	CDS	1110	bcsZ	3.2.1.4	COG3405	Endoglucanase
573.12859_00159	gene	2304	bcsB_1			
573.12859_00159	CDS	2304	bcsB_1			Cyclic di-GMP-binding protein
573.12859_00160	gene	2619	bcsA			
573.12859_00160	CDS	2619	bcsA	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
573.12859_00161	gene	732	bcsQ_1			
573.12859_00161	CDS	732	bcsQ_1			Cellulose biosynthesis protein BcsQ
573.12859_00162	gene	189	yhjR			
573.12859_00162	CDS	189	yhjR			Protein YhjR
573.12859_00163	gene	1554	bcsE			
573.12859_00163	CDS	1554	bcsE			Cyclic di-GMP binding protein BcsE
573.12859_00164	gene	198				
573.12859_00164	CDS	198				hypothetical protein
573.12859_00165	gene	1680	bcsG			
573.12859_00165	CDS	1680	bcsG			Cellulose biosynthesis protein BcsG
573.12859_00166	gene	1002				
573.12859_00166	CDS	1002		3.2.1.4		Endoglucanase
573.12859_00167	gene	477				
573.12859_00167	CDS	477				hypothetical protein
573.12859_00168	gene	4053	bepA_1			
573.12859_00168	CDS	4053	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
573.12859_00169	gene	2436	bcsB_2			
573.12859_00169	CDS	2436	bcsB_2			Cyclic di-GMP-binding protein
573.12859_00170	gene	2112	acsAB_1			
573.12859_00170	CDS	2112	acsAB_1			Cellulose synthase 1
573.12859_00171	gene	804	bcsQ_2			
573.12859_00171	CDS	804	bcsQ_2			Cellulose biosynthesis protein BcsQ
573.12859_00172	gene	540				
573.12859_00172	CDS	540				hypothetical protein
573.12859_00173	gene	1014	oppF_1			
573.12859_00173	CDS	1014	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
573.12859_00174	gene	984	dppD_1			
573.12859_00174	CDS	984	dppD_1		COG0444	Dipeptide transport ATP-binding protein DppD
573.12859_00175	gene	903	dppC			
573.12859_00175	CDS	903	dppC		COG1173	Dipeptide transport system permease protein DppC
573.12859_00176	gene	1020	dppB_1			
573.12859_00176	CDS	1020	dppB_1		COG0601	Dipeptide transport system permease protein DppB
573.12859_00177	gene	1608	dppA_1			
573.12859_00177	CDS	1608	dppA_1		COG0747	Periplasmic dipeptide transport protein
573.12859_00178	gene	77				
573.12859_00178	tRNA	77				tRNA-Pro(cgg)
573.12859_00179	gene	1395				
573.12859_00179	CDS	1395				hypothetical protein
573.12859_00180	gene	1674	eptB			
573.12859_00180	CDS	1674	eptB	2.7.8.42	COG2194	Kdo(2)-lipid A phosphoethanolamine 7''-transferase
573.12859_00181	gene	1206	yhjX			
573.12859_00181	CDS	1206	yhjX			putative MFS-type transporter YhjX
573.12859_00182	gene	645				
573.12859_00182	CDS	645				hypothetical protein
573.12859_00183	gene	582	tag			
573.12859_00183	CDS	582	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
573.12859_00184	gene	441	yiaC			
573.12859_00184	CDS	441	yiaC	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase YiaC
573.12859_00185	gene	2331	bisC			
573.12859_00185	CDS	2331	bisC	1.-.-.-	COG0243	Biotin sulfoxide reductase
573.12859_00186	gene	663	yiaD			
573.12859_00186	CDS	663	yiaD		COG2885	putative lipoprotein YiaD
573.12859_00187	gene	1017	kdgR_1			
573.12859_00187	CDS	1017	kdgR_1		COG1609	HTH-type transcriptional regulator KdgR
573.12859_00188	gene	750				
573.12859_00188	CDS	750				hypothetical protein
573.12859_00189	gene	936	kdgK_2			
573.12859_00189	CDS	936	kdgK_2	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
573.12859_00190	gene	1281	ttuB_1			
573.12859_00190	CDS	1281	ttuB_1			Putative tartrate transporter
573.12859_00191	gene	972	ghrB			
573.12859_00191	CDS	972	ghrB	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
573.12859_00192	gene	711				
573.12859_00192	CDS	711				hypothetical protein
573.12859_00193	gene	1356	pcaK_1			
573.12859_00193	CDS	1356	pcaK_1		COG0477	4-hydroxybenzoate transporter PcaK
573.12859_00194	gene	291				
573.12859_00194	CDS	291				hypothetical protein
573.12859_00195	gene	213	cspA			
573.12859_00195	CDS	213	cspA		COG1278	Cold shock protein CspA
573.12859_00196	gene	1620	ettA_1			
573.12859_00196	CDS	1620	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
573.12859_00197	gene	126				
573.12859_00197	CDS	126				hypothetical protein
573.12859_00198	gene	2070	glyS			
573.12859_00198	CDS	2070	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
573.12859_00199	gene	912	glyQ			
573.12859_00199	CDS	912	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
573.12859_00200	gene	303				
573.12859_00200	CDS	303				hypothetical protein
573.12859_00201	gene	996	wecH			
573.12859_00201	CDS	996	wecH	2.3.1.-	COG3274	O-acetyltransferase WecH
573.12859_00202	gene	444	yiaA			
573.12859_00202	CDS	444	yiaA		COG4682	Inner membrane protein YiaA
573.12859_00203	gene	372	yiaB			
573.12859_00203	CDS	372	yiaB		COG4682	Inner membrane protein YiaB
573.12859_00204	gene	1455	xylB_1			
573.12859_00204	CDS	1455	xylB_1	2.7.1.17	COG1070	Xylulose kinase
573.12859_00205	gene	1323	xylA_1			
573.12859_00205	CDS	1323	xylA_1	5.3.1.5		Xylose isomerase
573.12859_00206	gene	996	xylF_1			
573.12859_00206	CDS	996	xylF_1		COG4213	D-xylose-binding periplasmic protein
573.12859_00207	gene	1542	xylG_1			
573.12859_00207	CDS	1542	xylG_1	7.5.2.10	COG1129	Xylose import ATP-binding protein XylG
573.12859_00208	gene	1182	xylH_1			
573.12859_00208	CDS	1182	xylH_1		COG4214	Xylose transport system permease protein XylH
573.12859_00209	gene	1179	xylR			
573.12859_00209	CDS	1179	xylR			Xylose operon regulatory protein
573.12859_00210	gene	564				
573.12859_00210	CDS	564				hypothetical protein
573.12859_00211	gene	2034	malS			
573.12859_00211	CDS	2034	malS	3.2.1.1	COG0366	Periplasmic alpha-amylase
573.12859_00212	gene	1257	avtA			
573.12859_00212	CDS	1257	avtA	2.6.1.66	COG3977	Valine--pyruvate aminotransferase
573.12859_00213	gene	486	cooF			
573.12859_00213	CDS	486	cooF		COG1142	Iron-sulfur protein
573.12859_00214	gene	1842	selB			
573.12859_00214	CDS	1842	selB		COG3276	Selenocysteine-specific elongation factor
573.12859_00215	gene	1389	selA			
573.12859_00215	CDS	1389	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
573.12859_00216	gene	609	yibF			
573.12859_00216	CDS	609	yibF		COG0625	putative GST-like protein YibF
573.12859_00217	gene	1908	mtlA			
573.12859_00217	CDS	1908	mtlA		COG2213	PTS system mannitol-specific EIICBA component
573.12859_00218	gene	1149	mtlD			
573.12859_00218	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
573.12859_00219	gene	597	mtlR			
573.12859_00219	CDS	597	mtlR		COG3722	Mannitol operon repressor
573.12859_00220	gene	225	glgS_1			
573.12859_00220	CDS	225	glgS_1			Surface composition regulator
573.12859_00221	gene	363	yibL			
573.12859_00221	CDS	363	yibL			putative protein YibL
573.12859_00222	gene	1656	lldP			
573.12859_00222	CDS	1656	lldP		COG1620	L-lactate permease
573.12859_00223	gene	774	lldR_1			
573.12859_00223	CDS	774	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
573.12859_00224	gene	1185	lldD_1			
573.12859_00224	CDS	1185	lldD_1	1.1.-.-	COG1304	L-lactate dehydrogenase
573.12859_00225	gene	474	trmL_1			
573.12859_00225	CDS	474	trmL_1	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
573.12859_00226	gene	822	cysE			
573.12859_00226	CDS	822	cysE	2.3.1.30	COG1045	Serine acetyltransferase
573.12859_00227	gene	1020	gpsA			
573.12859_00227	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
573.12859_00228	gene	468	secB			
573.12859_00228	CDS	468	secB		COG1952	Protein-export protein SecB
573.12859_00229	gene	252	grxC			
573.12859_00229	CDS	252	grxC		COG0695	Glutaredoxin 3
573.12859_00230	gene	432	yibN			
573.12859_00230	CDS	432	yibN		COG0607	putative protein YibN
573.12859_00231	gene	1545	gpmI			
573.12859_00231	CDS	1545	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
573.12859_00232	gene	1257	envC			
573.12859_00232	CDS	1257	envC		COG4942	Murein hydrolase activator EnvC
573.12859_00233	gene	948				
573.12859_00233	CDS	948				hypothetical protein
573.12859_00234	gene	789				
573.12859_00234	CDS	789				hypothetical protein
573.12859_00235	gene	1026	tdh			
573.12859_00235	CDS	1026	tdh	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
573.12859_00236	gene	1194	kbl			
573.12859_00236	CDS	1194	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
573.12859_00237	gene	933	hldD			
573.12859_00237	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
573.12859_00238	gene	1020	rfaF			
