locus_tag	ftype	length_bp	gene	EC_number	COG	product
573.12862_00148	CDS	237				hypothetical protein
573.12862_00149	gene	318				
573.12862_00149	CDS	318				hypothetical protein
573.12862_00150	gene	795				
573.12862_00150	CDS	795				hypothetical protein
573.12862_00151	gene	477				
573.12862_00151	CDS	477				hypothetical protein
573.12862_00152	gene	759				
573.12862_00152	CDS	759				hypothetical protein
573.12862_00153	gene	264				
573.12862_00153	CDS	264				hypothetical protein
573.12862_00154	gene	2100				
573.12862_00154	CDS	2100				hypothetical protein
573.12862_00155	gene	513				
573.12862_00155	CDS	513				hypothetical protein
573.12862_00156	gene	570				
573.12862_00156	CDS	570				hypothetical protein
573.12862_00157	gene	618				
573.12862_00157	CDS	618				hypothetical protein
573.12862_00158	gene	741				
573.12862_00158	CDS	741				hypothetical protein
573.12862_00159	gene	570				
573.12862_00159	CDS	570				hypothetical protein
573.12862_00160	gene	453				
573.12862_00160	CDS	453				hypothetical protein
573.12862_00161	gene	723				
573.12862_00161	CDS	723				hypothetical protein
573.12862_00162	gene	1065				
573.12862_00162	CDS	1065				hypothetical protein
573.12862_00163	gene	864				
573.12862_00163	CDS	864				hypothetical protein
573.12862_00164	gene	756				
573.12862_00164	CDS	756				hypothetical protein
573.12862_00165	gene	1329				
573.12862_00165	CDS	1329				hypothetical protein
573.12862_00166	gene	876				
573.12862_00166	CDS	876				hypothetical protein
573.12862_00167	gene	1218				
573.12862_00167	CDS	1218				hypothetical protein
573.12862_00168	gene	585				
573.12862_00168	CDS	585				hypothetical protein
573.12862_00169	gene	1623				
573.12862_00169	CDS	1623				hypothetical protein
573.12862_00170	gene	1368	dnaB_1			
573.12862_00170	CDS	1368	dnaB_1	3.6.4.12	COG0305	Replicative DNA helicase
573.12862_00171	gene	387				
573.12862_00171	CDS	387				hypothetical protein
573.12862_00172	gene	873				
573.12862_00172	CDS	873				hypothetical protein
573.12862_00173	gene	153				
573.12862_00173	CDS	153				hypothetical protein
573.12862_00174	gene	594				
573.12862_00174	CDS	594				hypothetical protein
573.12862_00175	gene	486				
573.12862_00175	CDS	486				hypothetical protein
573.12862_00176	gene	294				
573.12862_00176	CDS	294				hypothetical protein
573.12862_00177	gene	1377	cbs			
573.12862_00177	CDS	1377	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
573.12862_00178	gene	1149	metC_1			
573.12862_00178	CDS	1149	metC_1	4.4.1.13	COG0626	Cystathionine beta-lyase
573.12862_00179	gene	912	dmlR_1			
573.12862_00179	CDS	912	dmlR_1			HTH-type transcriptional regulator DmlR
573.12862_00180	gene	603				
573.12862_00180	CDS	603				hypothetical protein
573.12862_00181	gene	345				
573.12862_00181	CDS	345				hypothetical protein
573.12862_00182	gene	189				
573.12862_00182	CDS	189				hypothetical protein
573.12862_00183	gene	90				
573.12862_00183	CDS	90				hypothetical protein
573.12862_00184	gene	1182	lysN_1			
573.12862_00184	CDS	1182	lysN_1	2.6.1.39	COG1167	2-aminoadipate transaminase
573.12862_00185	gene	1866	gss			
573.12862_00185	CDS	1866	gss		COG0754	Bifunctional glutathionylspermidine synthetase/amidase
573.12862_00186	gene	561				
573.12862_00186	CDS	561				hypothetical protein
573.12862_00187	gene	867	yghU			
573.12862_00187	CDS	867	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
573.12862_00188	gene	288				
573.12862_00188	CDS	288				hypothetical protein
573.12862_00189	gene	888				
573.12862_00189	CDS	888				hypothetical protein
573.12862_00190	gene	495				
573.12862_00190	CDS	495				hypothetical protein
573.12862_00191	gene	1524				
573.12862_00191	CDS	1524		3.2.1.-		Beta-xylosidase
573.12862_00192	gene	1419	yicJ_1			
573.12862_00192	CDS	1419	yicJ_1		COG2211	Inner membrane symporter YicJ
573.12862_00193	gene	426	exbD			
573.12862_00193	CDS	426	exbD		COG0848	Biopolymer transport protein ExbD
573.12862_00194	gene	732	exbB			
573.12862_00194	CDS	732	exbB		COG0811	Biopolymer transport protein ExbB
573.12862_00195	gene	1188	metC_2			
573.12862_00195	CDS	1188	metC_2	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
573.12862_00196	gene	660	yghB			
573.12862_00196	CDS	660	yghB		COG0586	Inner membrane protein YghB
573.12862_00197	gene	900	rhaS_1			
573.12862_00197	CDS	900	rhaS_1			HTH-type transcriptional activator RhaS
573.12862_00198	gene	1164	yqhD			
573.12862_00198	CDS	1164	yqhD	1.1.1.-	COG1979	Alcohol dehydrogenase YqhD
573.12862_00199	gene	828	dkgA			
573.12862_00199	CDS	828	dkgA	1.1.1.274	COG0656	2,5-diketo-D-gluconic acid reductase A
573.12862_00200	gene	528				
573.12862_00200	CDS	528				hypothetical protein
573.12862_00201	gene	2184				
573.12862_00201	CDS	2184				hypothetical protein
573.12862_00202	gene	1413	ftsP			
573.12862_00202	CDS	1413	ftsP		COG2132	Cell division protein FtsP
573.12862_00203	gene	738	plsC			
573.12862_00203	CDS	738	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
573.12862_00204	gene	2259	parC			
573.12862_00204	CDS	2259	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
573.12862_00205	gene	870	rhaS_2			
573.12862_00205	CDS	870	rhaS_2			HTH-type transcriptional activator RhaS
573.12862_00206	gene	396	ygiW_1			
573.12862_00206	CDS	396	ygiW_1		COG3111	Protein YgiW
573.12862_00207	gene	660	qseB			
573.12862_00207	CDS	660	qseB			Transcriptional regulatory protein QseB
573.12862_00208	gene	1350	qseC			
573.12862_00208	CDS	1350	qseC	2.7.13.3		Sensor protein QseC
573.12862_00209	gene	582	mdaB			
573.12862_00209	CDS	582	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
573.12862_00210	gene	315	ygiN			
573.12862_00210	CDS	315	ygiN	1.-.-.-	COG1359	putative quinol monooxygenase YgiN
573.12862_00211	gene	1896	parE			
573.12862_00211	CDS	1896	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
573.12862_00212	gene	576				
573.12862_00212	CDS	576				hypothetical protein
573.12862_00213	gene	828	cpdA_1			
573.12862_00213	CDS	828	cpdA_1	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
573.12862_00214	gene	423				
573.12862_00214	CDS	423				hypothetical protein
573.12862_00215	gene	633	nudF			
573.12862_00215	CDS	633	nudF	3.6.1.13		ADP-ribose pyrophosphatase
573.12862_00216	gene	1470	tolC			
573.12862_00216	CDS	1470	tolC			Outer membrane protein TolC
573.12862_00217	gene	672				
573.12862_00217	CDS	672				hypothetical protein
573.12862_00218	gene	1161	ygiC			
573.12862_00218	CDS	1161	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
573.12862_00219	gene	792	ygiD			
573.12862_00219	CDS	792	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
573.12862_00220	gene	771	zupT			
573.12862_00220	CDS	771	zupT		COG0428	Zinc transporter ZupT
573.12862_00221	gene	654	ribB			
573.12862_00221	CDS	654	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
573.12862_00222	gene	273	ubiK			
573.12862_00222	CDS	273	ubiK		COG2960	Ubiquinone biosynthesis accessory factor UbiK
573.12862_00223	gene	198	glgS_1			
573.12862_00223	CDS	198	glgS_1			Surface composition regulator
573.12862_00224	gene	1434	hldE			
573.12862_00224	CDS	1434	hldE		COG2870	Bifunctional protein HldE
573.12862_00225	gene	2838	glnE			
573.12862_00225	CDS	2838	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
573.12862_00226	gene	1299	ygiF			
573.12862_00226	CDS	1299	ygiF	3.6.1.25	COG3025	Inorganic triphosphatase
573.12862_00227	gene	621				
573.12862_00227	CDS	621				hypothetical protein
573.12862_00228	gene	1242	cca			
573.12862_00228	CDS	1242	cca		COG0617	Multifunctional CCA protein
573.12862_00229	gene	822	uppP			
573.12862_00229	CDS	822	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
573.12862_00230	gene	384	folB			
573.12862_00230	CDS	384	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
573.12862_00231	gene	618	plsY			
573.12862_00231	CDS	618	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
573.12862_00232	gene	825	ureD			
573.12862_00232	CDS	825	ureD			Urease accessory protein UreD
573.12862_00233	gene	303	ureA			
573.12862_00233	CDS	303	ureA	3.5.1.5		Urease subunit gamma
573.12862_00234	gene	321	ureB			
573.12862_00234	CDS	321	ureB	3.5.1.5		Urease subunit beta
573.12862_00235	gene	1704	ureC			
573.12862_00235	CDS	1704	ureC	3.5.1.5		Urease subunit alpha
573.12862_00236	gene	477	ureE			
573.12862_00236	CDS	477	ureE			Urease accessory protein UreE
573.12862_00237	gene	711	ureF			
573.12862_00237	CDS	711	ureF			Urease accessory protein UreF
573.12862_00238	gene	618	ureG			
573.12862_00238	CDS	618	ureG			Urease accessory protein UreG
573.12862_00239	gene	1608				
573.12862_00239	CDS	1608				hypothetical protein
573.12862_00240	gene	1014	tsaD			
573.12862_00240	CDS	1014	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
573.12862_00241	gene	216	rpsU			
573.12862_00241	CDS	216	rpsU		COG0828	30S ribosomal protein S21
573.12862_00242	gene	1746	dnaG			
573.12862_00242	CDS	1746	dnaG	2.7.7.-	COG0358	DNA primase
573.12862_00243	gene	1836	rpoD			
573.12862_00243	CDS	1836	rpoD		COG0568	RNA polymerase sigma factor RpoD
573.12862_00244	gene	507	mug			
573.12862_00244	CDS	507	mug	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
573.12862_00245	gene	76				
573.12862_00245	tRNA	76				tRNA-Met(cat)
573.12862_00246	gene	273				
573.12862_00246	CDS	273				hypothetical protein
573.12862_00247	gene	291	hdeB_1			
573.12862_00247	CDS	291	hdeB_1			Acid stress chaperone HdeB
573.12862_00248	gene	615	evgA			
573.12862_00248	CDS	615	evgA			DNA-binding transcriptional activator EvgA
573.12862_00249	gene	3243	rcsC_1			
573.12862_00249	CDS	3243	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
573.12862_00250	gene	642	yfdX			
573.12862_00250	CDS	642	yfdX			Protein YfdX
573.12862_00251	gene	576	hdeD			
573.12862_00251	CDS	576	hdeD		COG3247	Protein HdeD
573.12862_00252	gene	306	hdeB_2			
573.12862_00252	CDS	306	hdeB_2			Acid stress chaperone HdeB
573.12862_00253	gene	804	glpF_1			
573.12862_00253	CDS	804	glpF_1		COG0580	Glycerol uptake facilitator protein
573.12862_00254	gene	1824	ddrA_1			
573.12862_00254	CDS	1824	ddrA_1			Diol dehydratase-reactivating factor alpha subunit
573.12862_00255	gene	426	pduE_1			
573.12862_00255	CDS	426	pduE_1	4.2.1.28	COG4910	Propanediol dehydratase small subunit
573.12862_00256	gene	585	pduD_1			
573.12862_00256	CDS	585	pduD_1	4.2.1.28		Propanediol dehydratase medium subunit
573.12862_00257	gene	1668	dhaB			
573.12862_00257	CDS	1668	dhaB	4.2.1.30		Glycerol dehydratase large subunit
573.12862_00258	gene	429				
573.12862_00258	CDS	429				hypothetical protein
573.12862_00259	gene	1164	dhaT			
573.12862_00259	CDS	1164	dhaT	1.1.1.202	COG1454	1,3-propanediol dehydrogenase
573.12862_00260	gene	354				
573.12862_00260	CDS	354				hypothetical protein
573.12862_00261	gene	531	yvqK			
573.12862_00261	CDS	531	yvqK	2.5.1.17	COG2096	Corrinoid adenosyltransferase
573.12862_00262	gene	1926	dhaR			
573.12862_00262	CDS	1926	dhaR		COG3284	PTS-dependent dihydroxyacetone kinase operon regulatory protein
573.12862_00263	gene	1098	dhaD			
573.12862_00263	CDS	1098	dhaD	1.1.1.6		Glycerol dehydrogenase
573.12862_00264	gene	1071	dhaK_1			
573.12862_00264	CDS	1071	dhaK_1	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
573.12862_00265	gene	633	dhaL			
573.12862_00265	CDS	633	dhaL	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
573.12862_00266	gene	1422	dhaM			
573.12862_00266	CDS	1422	dhaM	2.7.1.121	COG1080	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM
573.12862_00267	gene	1650	dhaK_2			
